172,7,0
28,5,0
127,7,0
-67,11,0
67,9,0
-158,7,0
31,5,0
102,8,0
144,5,0
88,4,0
42,4,0
-102,3,0
0,5,0
42,6,0
-60,5,0
-45,3,0
17,4,0
81,4,0
102,6,0
81,4,0
-116,6,0
-84,5,0
-77,5,0
-120,3,0
-14,4,0
-116,5,0
183,5,0
141,4,0
-169,5,0
190,5,0
81,43,0
102,4,0
-91,4,0
67,7,0
74,4,0
77,4,0
-91,6,0
67,11,0
190,8,0
183,5,0
0,11,0
-141,11,0
63,6,0
98,5,0
-137,7,0
-42,7,0
-112,6,0
21,6,0
-28,10,0
56,9,0
151,5,0
98,7,0
74,5,0
95,5,0
-180,5,0
151,5,0
-52,8,0
28,10,0
-84,8,0
-144,7,0
-176,4,0
120,6,0
-141,8,0
-158,11,0
38,10,0
-151,9,0
14,5,0
137,7,0
35,19,0
-38,5,0
91,7,0
-148,3,0
-172,5,0
14,11,0
63,10,0
158,5,0
63,6,0
-98,6,0
-158,7,0
144,6,0
-105,6,0
77,7,0
134,8,0
127,5,0
60,6,0
60,11,0
123,6,0
116,7,0
-21,8,0
187,7,0
-162,7,0
60,6,0
-3,7,0
24,7,0
155,7,0
-130,6,0
134,3,0
180,5,0
42,4,0
14,4,0
81,5,0
52,9,0
-95,5,0
42,8,0
-123,5,0
-162,7,0
-127,5,0
56,11,0
-52,5,0
144,5,0
-105,22,0
-21,6,0
-112,5,0
-60,7,0
162,5,0
56,6,0
165,7,0
-21,8,0
10,5,0
165,5,0
-183,6,0
-127,6,0
137,5,0
42,4,0
-77,9,0
134,7,0
148,5,0
120,4,0
123,5,0
-144,6,0
127,5,0
-17,6,0
-109,7,0
102,5,0
-180,7,0
-3,4,0
0,5,0
56,4,0
3,4,0
10,6,0
31,6,0
-151,7,0
-105,6,0
102,4,0
-116,7,0
-102,7,0
-158,4,0
141,4,0
-180,4,0
141,39,0
0,35,0
84,5,0
35,7,0
-17,7,0
123,6,0
-74,6,0
-74,6,0
-21,5,0
123,6,0
176,4,0
56,6,0
28,5,0
81,5,0
-165,5,0
-137,7,0
-123,5,0
120,5,0
56,40,0
-187,5,0
176,4,0
81,5,0
-10,7,0
120,9,0
42,7,0
-144,7,0
-74,6,0
-123,6,0
-190,6,0
-88,7,0
-172,5,0
-162,12,0
-21,4,0
-158,6,0
-120,5,0
155,10,0
-38,6,0
70,6,0
-127,6,0
-151,9,0
-56,9,0
-190,10,0
70,7,0
0,8,0
14,7,0
-38,6,0
49,5,0
148,5,0
169,7,0
56,7,0
-60,5,0
-35,5,0
-130,6,0
-130,6,0
84,8,0
84,7,0
-148,12,0
31,5,0
3,7,0
-60,7,0
-162,8,0
-190,4,0
14,6,0
-127,6,0
-17,6,0
130,5,0
-7,5,0
17,6,0
144,4,0
127,5,0
63,5,0
42,4,0
137,7,0
176,5,0
49,6,0
-81,5,0
-52,5,0
-123,179,0
-176,5,0
120,6,0
-88,5,0
0,6,0
144,5,0
-7,6,0
-134,4,0
-151,7,0
-105,7,0
-144,9,0
88,7,0
-169,9,0
-176,6,0
-176,7,0
165,7,0
-52,3,0
52,5,0
137,6,0
123,6,0
-88,6,0
-151,8,0
-112,7,0
49,5,0
137,4,0
116,7,0
17,6,0
109,9,0
-116,9,0
-105,6,0
130,28,0
-24,5,0
-70,6,0
-180,6,0
-14,7,0
45,5,0
137,5,0
84,7,0
-187,6,0
-45,8,0
-42,6,0
74,5,0
-45,4,0
-56,5,0
-112,4,0
130,4,0
151,6,0
120,9,0
190,10,0
144,11,0
158,10,0
-165,5,0
112,6,0
52,7,0
144,6,0
60,9,0
-130,5,0
-24,6,0
-169,5,0
67,6,0
-127,8,0
-172,4,0
-35,7,0
17,8,0
-70,8,0
105,6,0
74,5,0
-120,8,0
-102,6,0
-10,9,0
-183,5,0
-105,8,0
116,4,0
-134,6,0
-151,7,0
-60,5,0
95,6,0
102,34,0
183,7,0
91,9,0
-95,8,0
-67,7,0
67,7,0
141,8,0
-116,6,0
155,5,0
42,5,0
-28,5,0
0,6,0
98,6,0
-17,5,0
-21,4,0
35,3,0
165,6,0
-172,6,0
165,5,0
-127,4,0
7,5,0
105,5,0
-137,4,0
-180,4,0
3,4,0
-60,5,0
-105,4,0
116,6,0
42,6,0
-165,8,0
130,5,0
158,5,0
95,5,0
-148,5,0
45,8,0
-120,7,0
-17,7,0
-49,6,0
98,9,0
180,6,0
134,5,0
-3,5,0
134,6,0
-109,9,0
-116,5,0
95,7,0
31,6,0
24,5,0
42,6,0
120,6,0
95,4,0
49,4,0
134,5,0
109,5,0
-130,6,0
165,4,0
60,7,0
-95,11,0
-95,8,0
183,6,0
56,6,0
172,6,0
165,6,0
-70,6,0
10,6,0
-176,8,0
-169,8,0
180,6,0
-183,5,0
74,6,0
-14,7,0
151,4,0
148,6,0
-109,10,0
120,7,0
-127,7,0
3,7,0
176,7,0
-10,9,0
-84,5,0
123,6,0
-98,5,0
137,6,0
190,4,0
17,7,0
120,8,0
